Original_text,Attack_text
"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.","I have erythema around my mouth, nose, and eyes. It is annoying and unpleasant. Recently, it has become excruciating."
My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,My skin shows hyperesthesia and is sensitive to changes in weather. My nails have developed indentations. I am worried about this sudden change.
"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.","I've seen an exfoliation of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have severe pain and eruption. The eruption is spreading to different parts of my body."
"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.","My inflamed skin is frequently searing and discomforting. There are also eruptions in various places of the body. Additionally, I have unusual discomfort in joints."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.","I've had trouble sleeping because of the pruritus and pain produced by the rash. My nails have ridges, which is really alarming. There is noticeable nail inflammation."
"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.","Because of desquamation, I am susceptible to infections. My joints are in agonizing agony. The skin on my knees and elbows is beginning to peel."
"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails.","My skin is erupting in rashes. When I scratch or rub the eruption, it frequently bleeds. In addition, I've observed little indentations in my nails. There is a noticeable nail swelling in my nails."
"I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.","I've observed that I have hyperesthesia and psoriasis on my skin. My skin has silver scales, especially on my back and elbows."
"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.","My palms and soles have developed deep cracks. These fissures are unpleasant and frequently bleed. Also, the skin is starting to desquamate."
"My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.","My nails are starting to have nail pitting on them. I am worried and don't know what is causing it. Also, I have arthralgia and there are skin eruptions on my arms and back."
"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me.","There is a mica-like residue on my skin. Moreover, the skin on my arms is starting to exfoliate and the skin on my back is shedding. This is strange and really concerning me."
"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.","My eruption has extended to other areas of my body, including my chest and belly. It is discomforting and unpleasant, and it is frequently exacerbated at night. I'm also experiencing desquamation."
"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain.","My skin rash exacerbates in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing arthralgia."
I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents. I am also experiencing skin peeling in different parts of my body.,"""I've had trouble sleeping because of the discomfort and pitting produced by the rash. My nails have pitting. I am also experiencing exfoliation in different parts of my body."""
"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.","My skin is exfoliating in places, especially on my knees, elbows, and arms. This exfoliation is often accompanied by an inflammation. I am also developing dimples on my nails, which is really concerning."
"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body.","Clinical note: 
I have Silver scaling, especially on my back and arms. This Flaking is made up of Flaking that peel off readily when rubbed. Also, there are Skin eruptions all over my body."
"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.","My arms, face and back are all inflamed and irritated. It is frequently irritating and unpleasant. My nails have abnormal swelling and have developed nail pitting. I have never seen anything like this."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it.","I've had trouble sleeping because of the pruritus and pain produced by the rash. My nails have ridging, which is really alarming. Moreover, my joints ache everyday and I have no idea what is causing it."
My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.,My fingers and soles have callused skin that is fissuring severely. These fractures hurt and hemorrhage frequently. The fractures are pruritic and covered with scaly.
"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees.","My skin has changed from having decreased sensitivity to developing skin hypersensitivity. My skin has a silver sheen, especially on my back, silver scaling on my elbows, and shimmering coating on my knees."
"My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows. ","My nails are slightly indented. Even my joints are now experiencing agonizing discomfort. My skin has a silver-colored skin dust, especially on my back and elbows."
"I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying. ","I've had insomnia because of the rash's pain and itching. The skin on my fingers are starting to shed. My nails have a few nail fissures, which is really worrying."
"My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body. ","My joints are experiencing joint pain. Additionally, I've experienced abnormal skin shedding in various places on my body. I'm concerned that something is wrong with my body."
"I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange.","I am starting to have skin eruptions on my arms and neck. The weeping rash often hurts when I scratch it. I have also developed nail pitting, which is very strange."
"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in extreme pain . My knees and elbows' skin are starting to peel off.","Because of dermatitis, I am prone to infections. My joints are in severe pain. My knees and elbows' skin are starting to flake."
