Original_text,Attack_text
The swelling in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels.,The edema in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels.
I have noticed cramps in my calves are becoming more frequent and intense. It is causing me a lot of discomforts. I am also overweight and my legs have started to swell.,I have noticed leg pain is becoming more frequent and intense. It is causing me a lot of discomfort. I am also overweight and my legs have started to swell.
The veins on my legs cause a lot of discomforts when I sit for long periods of time.,The veins on my legs cause a lot of leg pain when I sit for long periods of time.
The rash on my legs is spreading and becoming more severe. It has become very difficult for me to run.,'The eruption on my legs is becoming more severe. It has become very difficult for me to run.'
My legs are causing a lot of discomforts when I exercise. I get frequent cramps and the blood vessels have become quite noticeable.,'My legs are causing a lot of discomforts when I exercise. I get spasms and the blood vessels have become quite noticeable.'
The prominent blood vessels on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight.,The visible veins on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight.
The skin around the veins on my legs is dry and flaky. It seems there is a major bruise and my legs have started to swell.,The skin around the veins on my legs is showing signs of eczema. It seems there is a major bruise and my legs have started to swell.
I have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading.,I have been experiencing a skin eruption on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading.
"Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable.","Recently, my leg muscles have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable."
I have noticed that there are bruises on my legs that I cannot explain. They are not painful but are concerning to me.,'I have noticed that there are leg contusions that I cannot explain. They are not painful but are concerning to me.'
"As I am overweight, I have noticed that my legs are swollen and the blood vessels are more visible than usual. The swelling seems to be getting worse over time.","As I am overweight, I have noticed that I have Edema and the blood vessels are more visible than usual. The Edema seems to be getting worse over time."
The veins on my calves are very prominent and are causing me a lot of discomforts. They are swollen and protrude from my skin.,"The varicose veins on my calves are very swollen and protrude from my skin, causing me a lot of discomfort."
"The skin around the veins on my legs is red, inflamed, and itchy. It is causing a lot of discomforts and I am starting to get regular cramps.","The skin around the veins on my legs is erythematous, inflamed, and itchy. It is causing a lot of discomforts and I am starting to get regular cramps."
Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet.,Standing or walking for long periods of time has been causing a lot of Leg pain. It feels like a cramp and becomes worse the longer I am on my feet.
The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes.,'The leg cramps have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes.'
The swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time.,The edema in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time.
"The veins on my legs are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing.","'The veins on my legs are very noticeable and are causing me a lot of discomforts. They are enlarged and protrude from my skin, making them visible through my clothing.'"
"The skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning.","The skin on my calves is pruritic and irritated, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning."
The pain in my calves is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and can't run for longer periods of time.,The leg discomfort is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and can't run for longer periods of time.
"The veins in my legs are causing discomfort and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful.","'The veins in my legs are causing leg pain and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful.'"
The swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when I sit for long periods of time.,The edema in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when I sit for long periods of time.
"The cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities.","The leg muscle spasms are becoming more frequent and intense, making it difficult for me to walk and do my daily activities."
"The veins on my legs are causing a lot of discomforts when I sit for long periods of time. They are swollen and protruding from my skin, making them painful and noticeable.","The veins on my legs are causing a lot of pain when I sit for long periods of time. They are swollen and protruding from my skin, making them painful and noticeable."
"The rash on my legs is spreading and becoming more severe. It is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night.","The rash on my legs is spreading and becoming more severe. It is inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night."
"My legs have been causing a lot of discomforts when I exercise. They feel heavy and swollen, and the veins are prominent and painful. I feel fatigued all the time.",My legs have been causing a lot of discomforts when I exercise. They feel edematous and the veins are prominent and painful. I feel fatigued all the time.
"The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable.","'The visible veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable.'"
"The skin around the veins on my legs is dry and flaky, causing discomfort and irritation. I am also starting to get frequent cramps.","The skin around the veins on my legs is eczematous, causing discomfort and irritation. I am also starting to get frequent cramps."
"I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf.","I have a skin irritation on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf."
My veins of legs have become more visible and swollen than normal. They are visible through my skin and it hurts when I move.,My legs have prominent veins that have become more visible and swollen than normal. They are visible through my skin and it hurts when I move.
"Walking is tough for me because of cramps in my calves. Obesity, I believe, is the cause of this. After a while of working, I'm exhausted.","Walking is tough for me because of leg pain. Obesity, I believe, is the cause of this. After a while of working, I'm exhausted."
The blood vessels on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it.,The spider veins on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it.
"I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day.","'I have noticed that the prominent veins in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day.'"
My legs' swelling has become worse over the last couple of days. I can see the blood vessels protruding out of the skin. This is quite unusual.,My Edema has become worse over the last couple of days. I can see the blood vessels protruding out of the skin. This is quite unusual.
Long durations of standing or walking have caused severe discomfort in my legs. It's a burning ache that gets worse the longer I'm on my feet.,Long durations of standing or walking have caused severe discomfort in my legs. It's a stinging discomfort that gets worse the longer I'm on my feet.
"My legs' skin around the veins is unusual. There appears to be a large bruise. Nowadays, I get frequent cramps when I sprint or run.","""My legs' vein discoloration is unusual. There appears to be a large bruise. Nowadays, I get frequent cramps when I sprint or run."""
"I am experiencing too many cramps in the last couple of days. I think something is not right. I believe there is a small bruise on my calves, but I am not sure about it.","I am experiencing frequent cramps in the last couple of days. I think something is not right. I believe there is a small bruise on my calves, but I am not sure about it."
"The veins in my calves are protruding out quite unusually. I am worried about it. Also, I am overweight and I believe this is the reason behind all of this.","The bulging veins in my calves are quite unusual. I am worried about it. Also, I am overweight and I believe this is the reason behind all of this."
